,household_ID
0,ID4701
1,ID1497
2,ID2472
3,ID1006
4,ID4579
5,ID0558
6,ID0127
7,ID2278
8,ID2323
9,ID2845
10,ID3480
11,ID5350
12,ID3474
13,ID0066
14,ID0545
15,ID2221
16,ID0210
17,ID2798
18,ID2551
19,ID0043
20,ID2142
21,ID1680
22,ID3527
23,ID5168
24,ID1028
25,ID4525
26,ID2894
27,ID4778
28,ID2581
29,ID1867
30,ID1102
31,ID0296
32,ID2753
33,ID0234
34,ID2539
35,ID3281
36,ID3016
37,ID1480
38,ID4633
39,ID3428
40,ID2042
41,ID1184
42,ID3291
43,ID4829
44,ID3032
45,ID0135
46,ID2194
47,ID4704
48,ID0733
49,ID4407
50,ID3395
51,ID5316
52,ID2727
53,ID4409
54,ID0453
55,ID2999
56,ID4618
57,ID4156
58,ID1429
59,ID3515
60,ID0952
61,ID0579
62,ID4557
63,ID1764
64,ID3046
65,ID1622
66,ID0154
67,ID0658
68,ID2684
69,ID1762
70,ID1359
71,ID1602
72,ID2227
73,ID3639
74,ID1144
75,ID3555
76,ID4196
77,ID4843
78,ID4963
79,ID1276
80,ID2923
81,ID0487
82,ID0177
83,ID5038
84,ID5137
85,ID5485
86,ID0772
87,ID3263
88,ID4730
89,ID5512
90,ID4844
91,ID2167
92,ID4857
93,ID3282
94,ID4602
95,ID4414
96,ID1454
97,ID1165
98,ID1113
99,ID0485
100,ID0619
101,ID0936
102,ID4541
103,ID1205
104,ID2875
105,ID1051
106,ID1875
107,ID2874
108,ID4280
109,ID0264
110,ID0013
111,ID2793
112,ID2083
113,ID0531
114,ID5441
115,ID5018
116,ID5433
117,ID1826
118,ID3238
119,ID4938
120,ID3069
121,ID3624
122,ID2440
123,ID2717
124,ID1892
125,ID3376
126,ID3625
127,ID3222
128,ID0600
129,ID2805
130,ID3599
131,ID4920
132,ID2811
133,ID3440
134,ID1683
135,ID4576
136,ID3504
137,ID4347
138,ID1504
139,ID2187
140,ID3058
141,ID0392
142,ID1527
143,ID1146
144,ID2839
145,ID1496
146,ID1054
147,ID3381
148,ID3454
149,ID2253
150,ID3566
151,ID3632
152,ID1139
153,ID3147
154,ID0580
155,ID2998
156,ID2695
157,ID2068
158,ID3030
159,ID4323
160,ID3736
161,ID5335
162,ID4195
163,ID3385
164,ID1621
165,ID3389
166,ID2469
167,ID4956
168,ID3649
169,ID4250
170,ID0417
171,ID3029
172,ID4538
173,ID2863
174,ID3002
175,ID2161
176,ID0555
177,ID0844
178,ID2340
179,ID4846
180,ID4322
181,ID3549
182,ID3074
183,ID0129
184,ID2335
185,ID5220
186,ID3774
187,ID4198
188,ID1407
189,ID2580
190,ID2774
191,ID0698
192,ID3073
193,ID3794
194,ID2009
195,ID3445
196,ID3063
197,ID1751
198,ID1778
199,ID0954
200,ID0671
201,ID3763
202,ID2077
203,ID2313
204,ID4176
205,ID3207
206,ID0250
207,ID3279
208,ID1448
209,ID0246
