Cluster,,household_ID,Cluster,label
0,4,ID0005,0,normal
0,5,ID0006,0,normal
0,9,ID0010,0,normal
0,14,ID0015,0,normal
0,15,ID0016,0,normal
0,33,ID0034,0,high
0,35,ID0036,0,normal
0,46,ID0047,0,normal
0,51,ID0052,0,normal
0,52,ID0053,0,normal
0,59,ID0060,0,normal
0,64,ID0065,0,normal
0,72,ID0073,0,normal
0,73,ID0074,0,normal
0,100,ID0101,0,normal
0,117,ID0118,0,normal
0,136,ID0137,0,high
0,137,ID0138,0,normal
0,140,ID0141,0,normal
0,144,ID0145,0,normal
0,147,ID0148,0,normal
0,149,ID0150,0,normal
0,150,ID0151,0,normal
0,161,ID0162,0,normal
0,163,ID0164,0,normal
0,168,ID0169,0,normal
0,177,ID0178,0,normal
0,178,ID0179,0,normal
0,179,ID0180,0,normal
0,185,ID0186,0,normal
0,189,ID0190,0,normal
0,191,ID0192,0,normal
0,201,ID0202,0,normal
0,207,ID0208,0,normal
0,211,ID0212,0,normal
0,213,ID0214,0,normal
0,237,ID0238,0,normal
0,268,ID0269,0,high
0,274,ID0275,0,normal
0,283,ID0284,0,normal
0,284,ID0285,0,high
0,285,ID0286,0,normal
0,286,ID0287,0,normal
0,298,ID0299,0,normal
0,299,ID0300,0,normal
0,302,ID0303,0,normal
0,303,ID0304,0,normal
0,309,ID0310,0,normal
0,311,ID0312,0,normal
0,313,ID0314,0,high
0,318,ID0319,0,normal
0,321,ID0322,0,normal
0,325,ID0326,0,normal
0,329,ID0330,0,normal
0,333,ID0334,0,normal
0,334,ID0335,0,normal
0,335,ID0336,0,normal
0,336,ID0337,0,normal
0,338,ID0339,0,normal
0,342,ID0343,0,normal
0,346,ID0347,0,normal
0,348,ID0349,0,normal
0,351,ID0352,0,normal
0,353,ID0354,0,normal
0,354,ID0355,0,normal
0,356,ID0357,0,high
0,367,ID0368,0,normal
0,389,ID0390,0,normal
0,396,ID0397,0,high
0,400,ID0401,0,normal
0,402,ID0403,0,normal
0,407,ID0408,0,normal
0,429,ID0430,0,normal
0,431,ID0432,0,normal
0,432,ID0433,0,normal
0,433,ID0434,0,normal
0,437,ID0438,0,normal
0,447,ID0448,0,normal
0,458,ID0459,0,normal
0,477,ID0478,0,normal
0,480,ID0481,0,normal
0,482,ID0483,0,normal
0,487,ID0488,0,high
0,489,ID0490,0,normal
0,495,ID0496,0,normal
0,498,ID0499,0,normal
0,500,ID0501,0,normal
0,509,ID0510,0,normal
0,515,ID0516,0,normal
0,524,ID0525,0,normal
0,531,ID0532,0,normal
0,540,ID0541,0,normal
0,558,ID0559,0,normal
0,576,ID0577,0,normal
0,580,ID0581,0,normal
0,583,ID0584,0,normal
0,584,ID0585,0,normal
0,588,ID0589,0,normal
0,598,ID0599,0,normal
0,601,ID0602,0,high
0,604,ID0605,0,high
0,613,ID0614,0,normal
0,615,ID0616,0,normal
0,626,ID0627,0,normal
0,627,ID0628,0,normal
0,643,ID0644,0,normal
0,647,ID0648,0,normal
0,651,ID0652,0,normal
0,658,ID0659,0,normal
0,659,ID0660,0,normal
0,667,ID0668,0,low
0,676,ID0677,0,low
0,677,ID0678,0,normal
0,687,ID0688,0,normal
0,711,ID0712,0,low
0,714,ID0715,0,normal
0,716,ID0717,0,normal
0,717,ID0718,0,normal
0,718,ID0719,0,high
0,724,ID0725,0,normal
0,726,ID0727,0,normal
0,730,ID0731,0,high
0,744,ID0745,0,normal
0,757,ID0758,0,normal
0,759,ID0760,0,normal
0,762,ID0763,0,normal
0,780,ID0781,0,high
0,781,ID0782,0,normal
0,786,ID0787,0,normal
0,789,ID0790,0,low
0,793,ID0794,0,normal
0,796,ID0797,0,low
0,797,ID0798,0,high
0,798,ID0799,0,normal
0,811,ID0812,0,low
0,823,ID0824,0,normal
0,825,ID0826,0,low
0,826,ID0827,0,normal
0,848,ID0849,0,normal
0,873,ID0874,0,low
0,875,ID0876,0,normal
0,880,ID0881,0,normal
0,895,ID0896,0,normal
0,899,ID0900,0,normal
0,900,ID0901,0,high
0,902,ID0903,0,low
0,904,ID0905,0,normal
0,909,ID0910,0,normal
0,912,ID0913,0,normal
0,914,ID0915,0,normal
0,920,ID0921,0,low
0,931,ID0932,0,normal
0,934,ID0935,0,normal
0,941,ID0942,0,normal
0,942,ID0943,0,normal
0,947,ID0948,0,normal
0,948,ID0949,0,normal
