household_ID,cluster,consumption,mean,std
ID0004,1.0,236.24,153.4128821343718,123.00418083421654
ID0012,4.0,312.08,222.24722808458992,139.78949632344612
ID0013,2.0,153.08,92.95002341552134,68.66288330097842
ID0018,4.0,371.76,222.24722808458992,139.78949632344612
ID0024,2.0,240.72,92.95002341552134,68.66288330097842
ID0034,0.0,483.0,131.173002724289,98.9601521767689
ID0039,1.0,197.32,153.4128821343718,123.00418083421654
ID0043,1.0,394.5833333333333,153.4128821343718,123.00418083421654
ID0049,0.0,193.8,131.173002724289,98.9601521767689
ID0050,3.0,155.84,113.57842232275969,77.6044360447549
ID0052,3.0,159.64,113.57842232275969,77.6044360447549
ID0056,2.0,184.0,92.95002341552134,68.66288330097842
ID0066,1.0,512.4090909090909,153.4128821343718,123.00418083421654
ID0068,0.0,170.6,131.173002724289,98.9601521767689
ID0069,1.0,321.0,153.4128821343718,123.00418083421654
ID0071,2.0,168.8695652173913,92.95002341552134,68.66288330097842
ID0072,0.0,204.64,131.173002724289,98.9601521767689
ID0077,2.0,131.12,92.95002341552134,68.66288330097842
ID0081,3.0,152.0,113.57842232275969,77.6044360447549
ID0088,2.0,194.64,92.95002341552134,68.66288330097842
ID0101,2.0,148.92,92.95002341552134,68.66288330097842
ID0102,0.0,163.72,131.173002724289,98.9601521767689
ID0103,2.0,256.24,92.95002341552134,68.66288330097842
ID0104,1.0,242.36,153.4128821343718,123.00418083421654
ID0107,2.0,206.36,92.95002341552134,68.66288330097842
ID0108,0.0,178.76,131.173002724289,98.9601521767689
ID0115,1.0,240.6,153.4128821343718,123.00418083421654
ID0118,2.0,134.36,92.95002341552134,68.66288330097842
ID0125,0.0,169.84,131.173002724289,98.9601521767689
ID0127,4.0,366.12,222.24722808458992,139.78949632344612
ID0129,2.0,120.56,92.95002341552134,68.66288330097842
ID0134,1.0,201.84,153.4128821343718,123.00418083421654
ID0135,1.0,205.72,153.4128821343718,123.00418083421654
ID0137,2.0,315.76,92.95002341552134,68.66288330097842
ID0149,4.0,266.28,222.24722808458992,139.78949632344612
ID0152,1.0,223.96,153.4128821343718,123.00418083421654
ID0153,2.0,114.88,92.95002341552134,68.66288330097842
ID0174,2.0,155.76,92.95002341552134,68.66288330097842
ID0177,4.0,358.12,222.24722808458992,139.78949632344612
ID0182,2.0,447.92,92.95002341552134,68.66288330097842
ID0185,4.0,326.44,222.24722808458992,139.78949632344612
ID0186,2.0,118.28,92.95002341552134,68.66288330097842
ID0187,2.0,148.0,92.95002341552134,68.66288330097842
ID0189,4.0,325.6,222.24722808458992,139.78949632344612
ID0192,2.0,122.64,92.95002341552134,68.66288330097842
ID0198,4.0,437.56,222.24722808458992,139.78949632344612
ID0201,1.0,258.2,153.4128821343718,123.00418083421654
ID0202,2.0,158.8,92.95002341552134,68.66288330097842
ID0225,2.0,145.72,92.95002341552134,68.66288330097842
ID0229,1.0,320.76,153.4128821343718,123.00418083421654
ID0230,2.0,144.8,92.95002341552134,68.66288330097842
ID0237,2.0,165.44,92.95002341552134,68.66288330097842
ID0246,1.0,456.8,153.4128821343718,123.00418083421654
ID0247,1.0,331.96,153.4128821343718,123.00418083421654
ID0249,1.0,234.4,153.4128821343718,123.00418083421654
ID0255,0.0,372.92,131.173002724289,98.9601521767689
ID0256,2.0,168.56,92.95002341552134,68.66288330097842
ID0260,1.0,237.56,153.4128821343718,123.00418083421654
ID0269,0.0,215.44,131.173002724289,98.9601521767689
ID0273,1.0,248.96,153.4128821343718,123.00418083421654
ID0274,0.0,190.76,131.173002724289,98.9601521767689
ID0275,0.0,182.4,131.173002724289,98.9601521767689
ID0276,1.0,307.4583333333333,153.4128821343718,123.00418083421654
ID0278,1.0,201.44,153.4128821343718,123.00418083421654
ID0280,3.0,153.0,113.57842232275969,77.6044360447549
ID0282,2.0,134.6,92.95002341552134,68.66288330097842
ID0285,0.0,194.0,131.173002724289,98.9601521767689
ID0287,0.0,166.44,131.173002724289,98.9601521767689
ID0294,2.0,188.04,92.95002341552134,68.66288330097842
ID0296,0.0,338.6,131.173002724289,98.9601521767689
ID0307,2.0,198.5,92.95002341552134,68.66288330097842
ID0314,0.0,172.84,131.173002724289,98.9601521767689
ID0319,2.0,113.76,92.95002341552134,68.66288330097842
ID0321,2.0,287.375,92.95002341552134,68.66288330097842
ID0325,2.0,125.6,92.95002341552134,68.66288330097842
ID0327,0.0,161.44,131.173002724289,98.9601521767689
ID0332,2.0,134.6,92.95002341552134,68.66288330097842
ID0356,1.0,217.64,153.4128821343718,123.00418083421654
ID0357,2.0,175.48,92.95002341552134,68.66288330097842
ID0359,0.0,310.16,131.173002724289,98.9601521767689
